Site;PlotID;Treatment; Agrostis capillaris;Anthoxanthum odoratum;Avenella flexuosa;Carex leporina;Carex vaginata;Deschampsia cespitosa;Festuca ovina;Festuca rubra;Luzula multiflora;Phleum alpinum;Poa pratensis;Achillea millefolium;Alchemilla sp.;Bistorta vivipara;Campanula rotundifolia;Potentilla erecta;Ranunculus acris;Trifolium repens;Trifolium prantense;Veronica chamaedrys;Veronica officinale;Viola palustris;Viola riviana;Taraxacum sp.;Rumex acetosa;Filipendula ulmaria;Viola sp.?;Ranunculus repens;Stellaria gramminea;Rubus idaeus;Hypericm maculatum;Knautia arvensis;Myrtilus vitis-idea;Carex pirulifera;Potentilla crantzi;Veronica alpina;Galium uliginosum;Pimpinella saxifraga;Rubus  idaeus;Euphrasia sp.;Vac. Vitis-idea;Poa sp.;Festuca vivipara;Carex sp. ;Carex capillaris;Carex bigelowii;Empetrum nigrum;Trientalis europea;Cerastium sp.;Nardus stricta;Leontodon autumnalis;Carex novergica;Carex small bigelowii;Carex yellow;Poa alpina;Thalicrum alpinum;Parnasia palustris;Vac. Uliginosum;T. cespitosum;S. aizoides;C. nigra;Salix herbaceae;Salix reticulata;Saxifraga oppositifolia;Solidago virgaurea;Dryas  octopetala;Tofielda pusilla;Antenaria dioica;Pinguicula vulgaris;E. hirsutum;Poa annua;Sausurea alpina;Parnasia pallustris
Vikesland;V1Cage;Cage;0;15;0;0;0;0;0;0;0;0;70;20;0;0;5;0;0;4;0;1;0;0;0;5;10;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vikesland;V2Cage;Cage;0;30;0;0;0;0;0;0;0;0;40;7;0;0;0;0;1;4;0;0;0;0;0;10;5;0;0;2;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vikesland;V3Cage;Cage;10;1;0;0;0;0;0;0;0;0;75;4;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vikesland;V1C;Control;4;0;0;0;0;0;0;0;0;0;85;15;0;0;0;0;1;0;0;4;0;0;0;3;16;2;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vikesland;V2C;Control;0;10;1;0;0;0;0;0;0;0;60;16;0;0;0;0;0;4;0;0;0;0;0;1;16;0;0;12;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vikesland;V3C;Control;0;15;0;0;0;0;0;0;0;0;80;4;0;0;2;0;0;3;0;0;0;1;0;1;4;0;0;4;4;0;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vikesland;V1Cage2;Cage;0;25;4;0;0;40;0;0;0;0;4;20;0;0;2;0;1;2;0;3;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vikesland;V2Cage2;Cage;0;4;2;0;0;29;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vikesland;V3Cage2;Cage;0;30;3;0;0;15;0;0;0;0;40;1;0;0;2;0;0;3;0;42;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vikesland;V1C2;Control;0;40;0;0;0;15;0;0;0;0;0;10;0;0;1;20;0;7;1;0;3;0;0;1;7;0;1;1;1;0;5;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
